,subtasks,comments,issue_link_count,outward_count,inward_count,issue_type,priority,log_change_count,estimation_error,estimate_class
2217,0,22,0,0,0,Bug,1.0,27.0,10.0,overestimated
2218,0,8,0,0,0,Improvement,3.0,11.0,7.0,overestimated
2219,0,2,0,0,0,Bug,3.0,9.0,94.0,overestimated
2220,0,44,3,1,2,New Feature,2.0,26.0,1.0,overestimated
2221,0,9,0,0,0,Improvement,3.0,16.0,-0.3333333333333333,underestimated
2222,0,0,0,0,0,Sub-task,2.0,61.0,78.64,overestimated
2223,0,2,0,0,0,Bug,0.0,92.0,7.818181818181818,overestimated
2224,0,0,0,0,0,Bug,3.0,73.0,39.142857142857146,overestimated
2225,0,2,0,0,0,Bug,3.0,31.0,219.53846153846155,overestimated
2226,0,0,0,0,0,Improvement,3.0,36.0,43.0,overestimated
2227,0,0,0,0,0,Improvement,2.0,156.0,16.94736842105263,overestimated
2228,0,0,0,0,0,Improvement,2.0,20.0,158.0,overestimated
2229,0,2,0,0,0,Improvement,3.0,275.0,8.746268656716419,overestimated
2230,0,0,0,0,0,Improvement,3.0,39.0,718.9444444444445,overestimated
2231,0,0,0,0,0,Bug,3.0,9.0,916.0,overestimated
2232,0,0,0,0,0,Bug,2.0,44.0,30.4,overestimated
2233,0,1,0,0,0,Bug,3.0,54.0,26.17391304347826,overestimated
2234,0,0,0,0,0,Bug,2.0,16.0,430.0,overestimated
2235,0,1,0,0,0,Bug,3.0,12.0,0.4,overestimated
2236,0,1,0,0,0,Bug,2.0,57.0,3.142857142857143,overestimated
2237,0,3,0,0,0,Bug,2.0,6.0,-0.5,underestimated
2238,0,2,0,0,0,Bug,3.0,17.0,22.0,overestimated
2239,0,1,0,0,0,Bug,2.0,15.0,4.0,overestimated
2240,0,2,0,0,0,Sub-task,3.0,11.0,142.0,overestimated
2241,0,3,0,0,0,Sub-task,3.0,7.0,70.0,overestimated
2242,0,2,0,0,0,Sub-task,3.0,8.0,214.0,overestimated
2243,0,3,0,0,0,Sub-task,3.0,8.0,214.0,overestimated
2244,0,7,1,1,0,Improvement,2.0,12.0,502.5,overestimated
2245,0,4,0,0,0,Bug,2.0,6.0,4.0,overestimated
2246,0,7,1,0,1,Bug,2.0,16.0,16.0,overestimated
2247,0,10,0,0,0,Bug,2.0,18.0,46.0,overestimated
2248,0,1,0,0,0,Improvement,2.0,70.0,2.9655172413793105,overestimated
2250,0,15,2,0,2,Bug,1.0,17.0,70.0,overestimated
2251,0,1,0,0,0,Bug,3.0,12.0,26.8,overestimated
2252,0,0,0,0,0,Bug,2.0,17.0,0.5714285714285714,overestimated
2253,0,0,0,0,0,Bug,2.0,42.0,11.714285714285714,overestimated
2254,0,0,0,0,0,Sub-task,3.0,68.0,-0.3448275862068966,underestimated
2255,0,4,0,0,0,Bug,2.0,32.0,8.285714285714286,overestimated
2256,0,7,0,0,0,Improvement,3.0,12.0,1.0,overestimated
2257,0,1,1,1,0,Improvement,2.0,9.0,70.0,overestimated
2258,0,0,0,0,0,Improvement,2.0,102.0,18.571428571428573,overestimated
2259,0,0,0,0,0,Wish,2.0,17.0,430.0,overestimated
2260,0,1,0,0,0,Improvement,4.0,12.0,-0.8,underestimated
2261,0,3,0,0,0,Bug,2.0,25.0,110.0,overestimated
2262,0,1,0,0,0,Bug,2.0,8.0,502.0,overestimated
2263,0,1,0,0,0,Improvement,2.0,34.0,132.4,overestimated
2264,0,3,0,0,0,Improvement,2.0,12.0,15.0,overestimated
2265,0,1,0,0,0,Improvement,2.0,53.0,4.0,overestimated
2266,0,2,0,0,0,Bug,1.0,257.0,-0.8571428571428571,underestimated
2267,0,1,0,0,0,Bug,2.0,23.0,14.0,overestimated
2268,0,5,0,0,0,Improvement,3.0,27.0,26.8,overestimated
