,subtasks,comments,issue_link_count,outward_count,inward_count,issue_type,priority,log_change_count,estimation_error,estimate_class
2021,0,4,0,0,0,Improvement,3.0,9.0,4.0,overestimated
2022,0,1,0,0,0,Improvement,2.0,19.0,142.0,overestimated
2024,0,4,7,7,0,Improvement,2.0,24.0,22.5,overestimated
2025,0,3,0,0,0,Sub-task,2.0,107.0,3.877551020408163,overestimated
2026,0,3,2,0,2,Improvement,2.0,47.0,82.70588235294117,overestimated
2027,0,2,4,2,2,Improvement,2.0,107.0,19.91304347826087,overestimated
2028,0,9,0,0,0,Bug,1.0,48.0,5.578947368421052,overestimated
2030,0,4,1,1,0,Task,2.0,15.0,178.0,overestimated
2031,0,3,1,0,1,New Feature,1.0,12.0,78.0,overestimated
2032,0,5,2,1,1,New Feature,1.0,50.0,9.428571428571429,overestimated
2033,0,5,1,0,1,New Feature,1.0,47.0,23.263157894736842,overestimated
2034,0,4,2,1,1,New Feature,2.0,34.0,46.0,overestimated
2036,0,3,1,0,1,New Feature,1.0,59.0,17.2,overestimated
2037,0,2,1,0,1,New Feature,1.0,43.0,11.333333333333334,overestimated
2039,0,13,1,1,0,New Feature,1.0,35.0,75.53846153846153,overestimated
2041,0,3,1,1,0,Task,2.0,8.0,70.0,overestimated
2042,0,3,1,1,0,Task,3.0,12.0,10.0,overestimated
2045,0,5,0,0,0,Improvement,2.0,21.0,238.0,overestimated
2046,0,9,1,1,0,New Feature,2.0,30.0,41.2,overestimated
2047,0,5,0,0,0,Improvement,2.0,29.0,199.6,overestimated
2048,0,5,0,0,0,New Feature,2.0,16.0,10.5,overestimated
2050,0,3,1,1,0,Bug,2.0,10.0,70.0,overestimated
2051,0,0,1,1,0,Improvement,2.0,26.0,16.0,overestimated
2052,0,2,0,0,0,Bug,2.0,9.0,4.0,overestimated
2053,0,2,0,0,0,Improvement,3.0,6.0,3.0,overestimated
2056,0,1,0,0,0,Bug,2.0,10.0,10.0,overestimated
2058,0,5,0,0,0,Improvement,3.0,21.0,0.03389830508474576,overestimated
2060,0,7,0,0,0,Improvement,3.0,17.0,214.0,overestimated
2061,0,4,1,1,0,Task,2.0,66.0,0.6796875,overestimated
2062,0,1,0,0,0,Bug,2.0,8.0,1.0,overestimated
2065,0,5,0,0,0,Bug,3.0,8.0,4.0,overestimated
2066,0,6,0,0,0,Improvement,3.0,14.0,2.9285714285714284,overestimated
2068,0,9,1,0,1,Improvement,3.0,18.0,8.666666666666666,overestimated
2070,0,6,0,0,0,Test,2.0,22.0,1.0236220472440944,overestimated
2071,0,3,0,0,0,Bug,2.0,7.0,46.0,overestimated
2072,0,3,0,0,0,Bug,2.0,12.0,4.0,overestimated
2073,0,10,0,0,0,Bug,1.0,28.0,10.0,overestimated
2074,0,0,0,0,0,Task,2.0,6.0,47.0,overestimated
2075,0,0,0,0,0,Improvement,3.0,9.0,1.0,overestimated
2076,0,2,0,0,0,Improvement,3.0,8.0,22.0,overestimated
2077,0,0,0,0,0,Improvement,3.0,9.0,4.0,overestimated
2078,0,10,2,2,0,Bug,3.0,17.0,358.0,overestimated
2079,0,9,0,0,0,Improvement,2.0,14.0,70.0,overestimated
2080,0,1,0,0,0,Bug,3.0,10.0,10.0,overestimated
2081,0,1,0,0,0,Improvement,2.0,13.0,430.0,overestimated
2082,0,0,0,0,0,Sub-task,3.0,9.0,10.0,overestimated
2083,0,0,0,0,0,Sub-task,3.0,10.0,4.0,overestimated
2084,0,0,0,0,0,Sub-task,3.0,11.0,10.0,overestimated
2085,0,5,0,0,0,Bug,3.0,10.0,1.0,overestimated
2086,0,0,1,0,1,Improvement,2.0,11.0,22.0,overestimated
2087,0,4,0,0,0,Bug,3.0,10.0,1.0,overestimated
2088,0,6,0,0,0,Improvement,2.0,7.0,142.0,overestimated
2089,0,5,1,0,1,Bug,2.0,13.0,142.0,overestimated
2090,0,2,0,0,0,Improvement,2.0,10.0,214.0,overestimated
2091,0,2,0,0,0,Improvement,2.0,17.0,602.8,overestimated
2092,0,5,0,0,0,Improvement,2.0,8.0,70.0,overestimated
2093,0,1,1,1,0,Sub-task,2.0,6.0,430.0,overestimated
2094,0,19,0,0,0,Task,4.0,96.0,5.545454545454546,overestimated
2095,0,1,1,1,0,Improvement,2.0,12.0,1510.0,overestimated
2098,0,3,0,0,0,Bug,2.0,13.0,142.0,overestimated
2099,0,3,1,0,1,Bug,3.0,30.0,58.0,overestimated
2100,0,9,0,0,0,Bug,2.0,13.0,46.0,overestimated
2101,0,18,1,1,0,Bug,2.0,25.0,39.142857142857146,overestimated
2102,0,5,1,0,1,Bug,2.0,12.0,34.0,overestimated
2103,0,2,0,0,0,Improvement,3.0,6.0,70.0,overestimated
2104,0,8,0,0,0,Bug,4.0,10.0,1.0,overestimated
2105,0,12,1,1,0,Improvement,2.0,7.0,58.0,overestimated
2106,0,12,2,1,1,Sub-task,2.0,27.0,4.0,overestimated
2107,0,9,0,0,0,Bug,1.0,14.0,70.0,overestimated
2109,0,8,0,0,0,Bug,2.0,6.0,4.0,overestimated
2111,0,0,4,3,1,Improvement,2.0,122.0,0.5263157894736842,overestimated
2113,0,33,0,0,0,Improvement,3.0,29.0,0.3333333333333333,overestimated
2114,36,5,2,1,1,New Feature,2.0,22.0,0.25,overestimated
2118,4,5,0,0,0,Improvement,4.0,9.0,82.0,overestimated
2119,5,16,0,0,0,New Feature,2.0,9.0,5.0,overestimated
2120,0,0,2,2,0,Bug,2.0,18.0,22.0,overestimated
2121,8,12,1,0,1,Improvement,2.0,32.0,10.0,overestimated
2123,0,1,1,0,1,Bug,3.0,22.0,6.0,overestimated
2124,0,24,0,0,0,Bug,1.0,41.0,390.72727272727275,overestimated
2126,0,4,0,0,0,Bug,2.0,9.0,1.0,overestimated
2127,0,4,1,0,1,Bug,2.0,10.0,0.9979181124219292,overestimated
2129,0,0,0,0,0,Bug,3.0,23.0,5.2,overestimated
2130,0,1,0,0,0,Improvement,2.0,9.0,4.0,overestimated
2132,0,1,0,0,0,Task,2.0,14.0,6.0,overestimated
2134,0,4,0,0,0,Task,2.0,11.0,5.5,overestimated
2135,0,0,0,0,0,Task,3.0,13.0,75.53846153846153,overestimated
2136,0,1,0,0,0,Bug,2.0,11.0,26.8,overestimated
2137,0,0,0,0,0,Improvement,2.0,7.0,70.0,overestimated
2138,0,2,0,0,0,Improvement,2.0,11.0,199.6,overestimated
2139,0,2,0,0,0,Bug,2.0,9.0,10.0,overestimated
2140,0,2,1,1,0,Improvement,4.0,4.0,286.0,overestimated
2142,0,0,0,0,0,Bug,2.0,16.0,6.571428571428571,overestimated
2143,0,0,0,0,0,Bug,2.0,2.0,178.0,overestimated
2144,0,0,2,0,2,Bug,2.0,15.0,718.0,overestimated
2145,0,1,0,0,0,Bug,2.0,7.0,1.0,overestimated
2146,0,9,0,0,0,Improvement,3.0,12.0,70.5,overestimated
2147,0,7,0,0,0,Bug,3.0,24.0,70.0,overestimated
2148,0,1,0,0,0,New Feature,2.0,10.0,286.0,overestimated
2149,0,9,0,0,0,Bug,0.0,14.0,1.0,overestimated
2150,4,9,2,2,0,Improvement,2.0,20.0,88.0,overestimated
2151,0,1,0,0,0,Improvement,3.0,12.0,70.0,overestimated
2152,0,14,3,2,1,Improvement,2.0,31.0,286.0,overestimated
2153,0,4,2,1,1,Improvement,2.0,16.0,286.0,overestimated
2154,0,4,0,0,0,Improvement,3.0,20.0,718.0,overestimated
